Gene Symbol	Name	Entrez GeneId	Genome Location	Tier	Hallmark	Chr Band	Somatic	Germline	Tumour Types(Somatic)	Tumour Types(Germline)	Cancer Syndrome	Tissue Type	Molecular Genetics	Role in Cancer	Mutation Types	Translocation Partner	Other Germline Mut	Other Syndrome	Synonyms
ARAF	"A-Raf proto-oncogene, serine/threonine kinase"	369	X:47561100-47571920	2		Xp11.3	yes		"cholangiocarcinoma, lung adenocarcinoma, Langerhans cell histiocytosis"			"E, L"		oncogene	Mis				"ARAF1,CCDS75970.1,ENSG00000078061.12,NM_001256196.1,NP_001243125"
ARHGAP26	Rho GTPase activating protein 26	23092	5:142770377-143229011	1	Yes	5q31.3	yes		"AML, MDS"			L	Dom	"TSG, fusion"	"T, F, S"	KMT2A			"CCDS4277.1,ENSG00000145819.16,GRAF,KIAA0621,OPHN1L,OPHN1L1,Q9UNA1"
ARHGAP35	Rho GTPase activating protein 35	2909	19:46918676-47005077	1	Yes	19q13.32	yes		endometrial carcinoma			E		TSG	"N, Mis, F, O"				"CCDS46127.1,ENSG00000160007.18,GRF-1,GRLF1,KIAA1722,NM_004491.4,NP_004482,P190A,Q9NRY4,p190ARhoGAP,p190RhoGAP"
ARHGAP5	Rho GTPase activating protein 5	394	14:32077289-32159728	2		14q12	yes		"colon cancer, glioma"			"E, O"		oncogene	Mis				"CCDS32062.1,ENSG00000100852.12,GFI2,NM_001030055.1,NP_001025226,Q13017,RhoGAP5,p190-B,p190BRhoGAP"
ARHGEF10	Rho guanine nucleotide exchange factor 10	9639	8:1824015-1958641	2		8p23.3	yes		colon cancer			E		TSG	D				"CCDS78296.1,ENSG00000104728.15,Gef10,KIAA0294,NM_001308153.1,NP_001295082,O15013"
ARHGEF10L	Rho guanine nucleotide exchange factor 10 like	55160	1:17539835-17697869	2		1p36.13	yes		lymphoma			L		TSG	D				"CCDS182.1,ENSG00000074964.16,FLJ10521,KIAA1626,NM_018125.3,NP_060595,Q9HCE6"
ARHGEF12	RHO guanine nucleotide exchange factor (GEF) 12 (LARG)	23365	11:120337078-120489936	1		11q23.3	yes		AML			L	Dom	"TSG, fusion"	T	KMT2A			"CCDS41727.1,ENSG00000196914.8,KIAA0382,LARG,NM_015313.2,NP_056128,Q9NZN5"
ARID1A	AT rich interactive domain 1A (SWI-like)	8289	1:26696033-26782110	1	Yes	1p36.11	yes		"clear cell ovarian carcinoma, RCC, breast"			E	Rec	"TSG, fusion"	"Mis, N, F, S, D, T"	MAST2			"B120,BAF250,BAF250a,C10rf4,C1orf4,CCDS285.1,ENSG00000117713.19,NM_006015.4,NP_006006,O14497,P270,SMARCF1"
ARID1B	AT rich interactive domain 1B	57492	6:156777374-157210779	1	Yes	6q25.3	yes		"breast, hepatocellular carcinoma, clear cell ovarian carcinoma"			E	Rec	TSG	"Mis, F, N, O"				"6A3-5,BAF250b,CCDS55072.1,DAN15,ELD/OSA1,ENSG00000049618.22,KIAA1235,NM_020732.3,NP_065783,Q8NFD5,p250R"
ARID2	AT rich interactive domain 2	196528	12:45729665-45908040	1	Yes	12q12	yes		hepatocellular carcinoma			E	Rec	TSG	"N, S, F"				"BAF200,CCDS31783.1,DKFZp686G052,ENSG00000189079.15,FLJ30619,KIAA1557,NM_152641.2,NP_689854,Q68CP9"
ARNT	aryl hydrocarbon receptor nuclear translocator	405	1:150809705-150876768	1	Yes	1q21.3	yes		AML			L	Dom	"oncogene, TSG, fusion"	T	ETV6			"CCDS970.1,ENSG00000143437.20,HIF-1beta,NM_001668.3,NP_001659,NP_001337154.1,NP_001337155.1,NP_001337153.1,P27540,bHLHe2"
ASPM	Assembly Factor For Spindle Microtubules	259266	1:197084128-197146694	2		1q31.3	yes	yes	"breast cancer, lung cancer, endometrial cancer, melanoma"		nevoid basal cell carcinoma syndrome	"E, O"			"A, F, Mis, N"				"ASP,CCDS1389.1,Calmbp1,ENSG00000066279.17,FLJ10517,FLJ10549,MCPH5,NM_018136.4,NP_060606,Q8IZT6"
ASPSCR1	"alveolar soft part sarcoma chromosome region, candidate 1"	79058	17:81977550-82017404	1		17q25.3	yes		alveolar soft part sarcoma			M	Dom	fusion	T	TFE3			"ASPL,ASPS,CCDS58611.1,ENSG00000169696.15,NM_001251888.1,NP_001238817,Q9BZE9,TUG,UBXD9,UBXN9"
ASXL1	additional sex combs like 1	171023	20:32358330-32439319	1	Yes	20q11.21	yes		"MDS, CMML"			L	Rec	TSG	"F, N, Mis"		yes	Bohring-Opitz syndrome	"CCDS13201.1,ENSG00000171456.17,KIAA0978,NM_015338.5,NP_056153,Q8IXJ9"
ASXL2	"additional sex combs like 2, transcriptional regulator"	55252	2:25741925-25780309	2		2p23.3	yes		"melanoma, CCRCC, AML"			"E, L"		TSG	"O,N, F"				"ASXH2,ENSG00000143970.16,FLJ10898,KIAA1685,Q76L83"
ATF1	activating transcription factor 1	466	12:50764292-50821122	1		12q13.12	yes		"malignant melanoma of soft parts, angiomatoid fibrous histiocytoma"			"E, M"	Dom	"oncogene, fusion"	T	"EWSR1, FUS"			"CCDS8803.1,ENSG00000123268.8,NM_005171.4,NP_005162,P18846,TREB36"
ATIC	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	471	2:215311817-215349763	1		2q35	yes		ALCL			L	Dom	fusion	T	ALK			"AICARFT,CCDS2398.1,ENSG00000138363.14,IMPCHASE,NM_004044.6,NP_004035,P31939,PURH"
ATM	ataxia telangiectasia mutated	472	11:108222832-108369099	1	Yes	11q22.3	yes	yes	T-PLL	"leukaemia, lymphoma, medulloblastoma, glioma"	ataxia-telangiectasia	"L, O"	Rec	TSG	"D, Mis, N, F, S"				"ATA,ATC,ATD,ATDC,CCDS31669.1,ENSG00000149311.18,NM_000051.3,NP_000042,Q13315,TEL1,TELO1"
ATP1A1	"ATPase, Na+/K+ transporting, alpha 1 polypeptide"	476	1:116373867-116404772	1	Yes	1p13.1	yes		adrenal aldosterone producing adenoma			E	Dom	"oncogene, TSG"	"Mis, O"				"CCDS53351.1,ENSG00000163399.15,NM_001160233.1,NP_001153705,P05023"
ATP2B3	"ATPase, Ca++ transporting, plasma membrane 3"	492	X:153536122-153582929	1	Yes	Xq28	yes		adrenal aldosterone producing adenoma			E	Dom	TSG	O				"CCDS35440.1,CFAP39,CLA2,ENSG00000067842.17,NM_001001344.2,NP_001001344,PMCA3,Q16720,SCAX1"
ATR	ATR serine/threonine kinase	545	3:142449237-142578826	1	Yes	3q23	yes	yes	"endometrial, gastric, epithelial ovarian, myeloma"	oropharyngeal	familial cutaneous telangiectasia and cancer syndrome	"E, L"	Dom	TSG	"F, Mis"		yes	Seckel syndrome 1	"CCDS3124.1,ENSG00000175054.14,FRP1,MEC1,NM_001184.3,NP_001175,Q13535,SCKL,SCKL1"
ATRX	alpha thalassemia/mental retardation syndrome X-linked	546	X:77504878-77786269	1	Yes	Xq21.1	yes		"pancreatic neuroendocrine tumours, paediatric GBM"			E	Rec	TSG	"Mis, F, N"		yes	ATR-X (alpha thalassemia/mental retardation) syndrome	"CCDS14434.1,ENSG00000085224.21,JMS,MRX52,NM_000489.4,NP_000480,P46100,RAD54,XH2,XNP"
AXIN1	axin 1	8312	16:287440-352659	1	Yes	16p13.3	yes		"colorectal, endometrial, prostate, hepatocellular carcinoma, hepatoblastoma, sporadic medulloblastoma"			"E, O"	Rec	TSG	"D, Mis, N, F, S"				"CCDS10405.1,ENSG00000103126.14,NM_003502.3,NP_003493,O15169,PPP1R49"
AXIN2	axin 2	8313	17:65528563-65561647	1	Yes	17q24.1	yes	yes	"colorectal carcinoma, stomach carcinoma, hepatocellular carcinoma"	colorectal carcinoma	oligodontia-colorectal cancer syndrome	E	Rec	TSG	"Mis, F, N"				"CCDS11662.1,DKFZp781B0869,ENSG00000168646.12,MGC126582,NM_004655.3,NP_004646,Q9Y2T1"
B2M	beta-2-microglobulin	567	15:44711477-44718877	1	Yes	15q21.1	yes		"DLBCL, melanoma, colorectal adenocarcinoma"			"E, L"	Rec	TSG	"Mis, N, F"		yes	Immunodeficiency 43	"CCDS10113.1,ENSG00000166710.17,NM_004048.2,NP_004039,P61769"
BAP1	BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase)	8314	3:52401013-52410350	1	Yes	3p21.1	yes	yes	"uveal melanoma, breast, NSCLC, RCC"	"mesothelioma, skin and uveal melanoma, kidney cancer"	BAP1 tumor predisposition syndrome	E	Rec	TSG	"N, Mis, F, S, O"				"CCDS2853.1,ENSG00000163930.9,KIAA0272,NM_004656.3,NP_004647,Q92560,UCHL2,hucep-6"
BARD1	BRCA1 associated RING domain 1	580	2:214725646-214809704	1	Yes	2q35	yes	yes	breast cancer	"ovarian cancer, breast cancer, endometrioid cancer"		E		TSG	Mis				"CCDS2397.1,ENSG00000138376.10,NM_000465.3,NP_000456,Q99728"
BAX	"BCL2 associated X, apoptosis regulator"	581	19:48954929-48961798	1	Yes	19q13.33	yes		colorectal cancer			E		TSG	"F, Mis"				"BCL2L4,CCDS12744.1,ENSG00000087088.19,NM_004324.3,NP_004315,Q07812"
BAZ1A	bromodomain adjacent to zinc finger domain 1A	11177	14:34752737-34875647	2		14q13.2	yes		"uterine carcinosarcoma, colon cancer"			E		TSG	D				"ACF1,CCDS9651.1,ENSG00000198604.10,NM_013448.2,NP_038476,Q9NRL2,WALp1,WCRF180,hACF1"
BCL10	B-cell CLL/lymphoma 10	8915	1:85266248-85277090	1	Yes	1p22.3	yes		MALT			L	Dom	"TSG, fusion"	T	IGH			"CARMEN,CCDS704.1,CIPER,CLAP,ENSG00000142867.12,NM_003921.4,NP_003912,NP_001307644.1,O95999,c-E10,mE10"
BCL11A	B-cell CLL/lymphoma 11A	53335	2:60457192-60555154	1	Yes	2p16.1	yes		B-CLL			L	Dom	"oncogene, fusion"	T	IGH			"BCL11A-L,BCL11A-S,BCL11A-XL,CCDS1862.1,CTIP1,ENSG00000119866.21,EVI9,HBFQTL5,NM_022893.3,NP_075044,ZNF856"
BCL11B	B-cell CLL/lymphoma 11B  (CTIP2)	64919	14:99169287-99271228	1		14q32.2	yes		T-ALL			L	Dom	"oncogene, TSG, fusion"	T	TLX3			"CCDS9950.1,CTIP-2,CTIP2,ENSG00000127152.17,NM_138576.3,NP_612808,NP_001269166.1,Q9C0K0,ZNF856B,hRIT1-alpha"
BCL2	B-cell CLL/lymphoma 2	596	18:63123346-63320128	1		18q21.33	yes		"NHL, CLL"			L	Dom	"oncogene, fusion"	T	IGH			"Bcl-2,CCDS11981.1,ENSG00000171791.12,NM_000633.2,NP_000624,P10415,PPP1R50"
BCL2L12	BCL2 like 12	83596	19:49665142-49673915	2		19q13.33	yes		"melanoma, SCC"			E		oncogene	Mis				"CCDS12776.1,ENSG00000126453.9,NM_138639.1,NP_619580,Q9HB09"
BCL3	B-cell CLL/lymphoma 3	602	19:44748547-44760044	1		19q13.32	yes		CLL			L	Dom	"oncogene, fusion"	T	IGH			"BCL4,CCDS12642.2,D19S37,ENSG00000069399.14,NM_005178.4,NP_005169,P20749"
BCL6	B-cell CLL/lymphoma 6	604	3:187721377-187745727	1		3q27.3	yes		"NHL, CLL"			L	Dom	"oncogene, fusion"	"T, Mis"	"IG loci, ZNFN1A1, LCP1, PIM1, TFRC, CIITA, NACA, HSPCB, HSP90AA1, HIST1H4I, IL21R,  POU2AF1, RHOH, EIF4A2, SRSF3"			"BCL5,BCL6A,CCDS3289.1,ENSG00000113916.17,LAZ3,NM_001706.4,NP_001697,P41182,ZBTB27,ZNF51"
BCL7A	B-cell CLL/lymphoma 7A	605	12:122019422-122062044	1		12q24.31	yes		BNHL			L	Dom	fusion	T	MYC			"BCL7,CCDS9226.1,ENSG00000110987.8,NM_020993.4,NP_066273,Q4VC05"
BCL9	B-cell CLL/lymphoma 9	607	1:147541412-147626216	1	Yes	1q21.2	yes		B-ALL			L	Dom	"oncogene, fusion"	T	"IGH, IGL"			"CCDS30833.1,ENSG00000116128.10,NM_004326.3,NP_004317,O00512"
BCL9L	B-cell CLL/lymphoma 9-like	283149	11:118893875-118910904	1	Yes	11q23.3	yes		"colorectal cancer, endometrial carcinoma, gastric cancer"			E		"oncogene, TSG"	"Mis, F"				"CCDS8403.1,DLNB11,ENSG00000186174.12,NM_182557.2,NP_872363,Q86UU0"
BCLAF1	BCL2 associated transcription factor 1	9774	6:136256863-136289851	2		6q23.3	yes		"melanoma, SCC"			E			Mis				"BTF,CCDS5177.1,ENSG00000029363.16,KIAA0164,NM_014739.2,NP_055554,Q9NYF8"
BCOR	BCL6 corepressor	54880	X:40051248-40097403	1	Yes	Xp11.4	yes		"retinoblastoma, AML, APL (translocation)"			"L, M"	Rec	"TSG, fusion"	"F, N, S, T"	RARA	yes	Oculo-facio-cardio-dental genetic	"CCDS48093.1,ENSG00000183337.16,FLJ20285,KIAA1575,NM_001123385.1,NP_001116857,Q6W2J9"
BCORL1	BCL6 corepressor-like 1	63035	X:130005188-130058083	1	Yes	Xq26.1	yes		"AML, HNSCC"			"E, L"		"oncogene, TSG"	"Mis, N, F"				"CCDS14616.1,CXorf10,ENSG00000085185.15,FLJ11362,NM_021946.4,NP_068765,NP_001171701.1,Q5H9F3"
BCR	breakpoint cluster region	613	22:23180210-23318037	1		22q11.23	yes		"CML, ALL, AML"			L	Dom	fusion	T	"ABL1,  FGFR1, JAK2"			"ALL,BCR1,CCDS13806.1,CML,D22S11,D22S662,ENSG00000186716.20,NM_004327.3,NP_004318,P11274,PHL"
BIRC3	baculoviral IAP repeat-containing 3	330	11:102317495-102337734	1	Yes	11q22.2	yes		"CLL, MALT, MCL, MM"			L	Dom	"oncogene, TSG, fusion"	"D, F, N, T, Mis"	MALT1			"API2,CCDS8315.1,ENSG00000023445.13,MALT2,MIHC,Q13489,RNF49,c-IAP2,cIAP2,hiap-1"
BIRC6	baculoviral IAP repeat containing 6	57448	2:32357028-32618899	2		2p22.3	yes		"melanoma, gastric adenocarcinoma, lung adenocarcinoma"			E		"oncogene, fusion"	"T, Mis"	ALK			"BRUCE,CCDS33175.2,ENSG00000115760.13,NM_016252.3,NP_057336,Q9NR09"
BLM	Bloom Syndrome	641	15:90717327-90816165	1	Yes	15q26.1		yes		"leukaemia, lymphoma, skin squamous cell, other tumour types"	Bloom syndrome	"L, E"	Rec	TSG	"Mis, N, F"				"BS,CCDS10363.1,ENSG00000197299.10,NM_001287248.1,NP_001274175,NP_000048,NP_001274177.1,P54132,RECQ2,RECQL3"
BMP5	bone morphogenetic protein 5	653	6:55753645-55875564	2		6p12.1	yes		melanoma			E			Mis				"CCDS4958.1,ENSG00000112175.7,NM_021073.2,NP_066551,P22003"
BMPR1A	"bone morphogenetic protein receptor, type IA"	657	10:86756650-86932838	1	Yes	10q23.2		yes		gastrointestinal polyps	juvenile polyposis	E	Rec	"oncogene, TSG"	"Mis, N, F"				"ACVRLK3,ALK3,CCDS7378.1,CD292,ENSG00000107779.13,NM_004329.2,NP_004320,P36894"
BRAF	v-raf murine sarcoma viral oncogene homolog B1	673	7:140730665-140924928	1	Yes	7q34	yes		"melanoma, colorectal, papillary thyroid, borderline ovarian, NSCLC, cholangiocarcinoma, pilocytic astrocytoma, Spitzoid tumour, pancreas acinar carcinoma, melanocytic nevus, prostate, gastric"			"E, O"	Dom	"oncogene, fusion"	"Mis, T, O"	"AKAP9, KIAA1549, CEP88, LSM14A, SND1, FCHSD1, SLC45A3, FAM131B, RNF130, CLCN6, MKRN1, GNAI1, AGTRAP"	yes	Cardio-facio-cutaneous syndrome	"BRAF1,CCDS5863.1,ENSG00000157764.13,NM_004333.4,NP_004324"
BRCA1	familial breast/ovarian cancer gene 1	672	17:43044295-43125483	1	Yes	17q21.31	yes	yes	ovarian	"breast, ovarian"	hereditary breast/ovarian cancer	E	Rec	TSG	"D, Mis, N, F, S"				"BRCC1,CCDS11456.2,ENSG00000012048.21,FANCS,NM_007300.3,NP_009231,P38398,PPP1R53,RNF53"
BRCA2	familial breast/ovarian cancer gene 2	675	13:32315474-32400266	1	Yes	13q13.1	yes	yes	"breast, ovarian, pancreatic"	"breast, ovarian, pancreatic, leukaemia  (FANCB, FANCD1)"	hereditary breast/ovarian cancer	"L, E"	Rec	TSG	"D, Mis, N, F, S"				"BRCC2,CCDS9344.1,ENSG00000139618.14,FACD,FAD,FAD1,FANCD,FANCD1,P51587,XRCC11"
BRD3	bromodomain containing 3	8019	9:134030305-134068017	1		9q34.2	yes		lethal midline carcinoma of young people			E	Dom	"oncogene, fusion"	T	NUTM1			"CCDS6980.1,ENSG00000169925.16,KIAA0043,NM_007371.3,NP_031397,ORFX,Q15059,RING3L"
BRD4	bromodomain containing 4	23476	19:15235519-15280451	1	Yes	19p13.12	yes		lethal midline carcinoma of young people			E	Dom	"oncogene, fusion"	T	NUTM1			"CAP,CCDS12328.1,ENSG00000141867.17,HUNK1,HUNKI,MCAP,NM_058243.2,NP_490597,O60885"
BRIP1	BRCA1 interacting protein C-terminal helicase 1	83990	17:61681266-61863521	1	Yes	17q23.2		yes		"AML, leukaemia, breast"	"Fanconi anaemia J, breast cancer susceptiblity"	"L, E"	Rec	TSG	"F, N, Mis"				"BACH1,CCDS11631.1,ENSG00000136492.8,FANCJ,NM_032043.2,NP_114432,OF,Q9BX63"
BTG1	"B-cell translocation gene 1, anti-proliferative"	694	12:92140278-92145897	1		12q21.33	yes		B-CLL			L	Dom	"TSG, fusion"	T	MYC			"APRO2,CCDS9043.1,ENSG00000133639.4,NM_001731.2,NP_001722,P62324"
BTG2	BTG Anti-Proliferation Factor 2	7832	1:203305536-203309602	2		1q32.1	yes		DLBCL			L		TSG	Mis				"APRO1,CCDS1437.1,ENSG00000159388.5,MGC126063,MGC126064,NM_006763.2,NP_006754,P78543,PC3,TIS21"
BTK	Bruton agammaglobulinemia tyrosine kinase	695	X:101349447-101390796	1	Yes	Xq22.1	yes		"CLL, mantle cell lymphoma, WM"			L	Dom	"oncogene, TSG"	Mis		yes	agammaglobulinemia	"AGMX1,ATK,CCDS76003.1,ENSG00000010671.15,IMD1,NM_001287344.1,NP_001274273,PSCTK1,Q06187,XLA"
BUB1B	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)	701	15:40161026-40221136	1	Yes	15q15.1		yes		rhabdomyosarcoma	mosaic variegated aneuploidy	M	Rec	TSG	"Mis, N, F, S"				"BUBR1,Bub1A,CCDS10053.1,ENSG00000156970.12,MAD3L,NM_001211.5,NP_001202,NP_001202.4,O60566,SSK1"
C15orf65	chromosome 15 open reading frame 65	145788	15:55408548-55418712	2		15q21.3	yes		"PMBL, Hodgkin lymphoma"			L	Dom	fusion	T	CIITA			"CCDS58363.1,ENSG00000261652.2,FLJ27352,H3BRN8,NM_001198784.1,NP_001185713"
CACNA1D	"calcium channel, voltage-dependent, L type, alpha 1D subunit"	776	3:53495049-53813733	1	Yes	3p21.1	yes		adrenal aldosterone producing adenoma			E	Dom	oncogene	Mis		yes	"Syndrome featuring primary aldosteronism, seizures and neuromuscular disease."	"CACH3,CACN4,CACNL1A2,CCDS2872.1,CCHL1A2,Cav1.3,ENSG00000157388.16,Q01668"
CALR	calreticulin	811	19:12938607-12944489	1	Yes	19p13.13	yes		"MPN, MDS"			L	Dom	oncogene	"F, Mis"				"CCDS12288.1,CRT,ENSG00000179218.13,FLJ26680,NM_004343.3,NP_004334,P27797,RO,SSA,cC1qR"
CAMTA1	calmodulin binding transcription activator 1	23261	1:6785324-7769706	1	Yes	1p36.31	yes		epithelioid haemangioendothelioma			M	Dom	"TSG, fusion"	T	WWTR1			"CCDS30576.1,ENSG00000171735.18,KIAA0833,NM_015215.3,NP_056030,NP_001336537.1,Q9Y6Y1"
